"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971810896738722145","Sat Sep 27 23:59:51 +0000 2025","1","@GunRomli Gila, yg punya program MBG lah yg harus nya makan duluan, biar tau rasanya keracunan, kasian anak*, masyarakat yg anaknya keracunan, akibat program asal*lan yg dak becus...","1972088832624619611","","GunRomli","in","","0","0","1","https://x.com/NgajuNathan/status/1972088832624619611","1495752229701455872","NgajuNathan"
"1971799703483461979","Sat Sep 27 23:59:16 +0000 2025","0","@Tan_Mar3M Pertanyaannya knp gak langsung stop MBG jatah kasih ke sekolah masing2 beres dari sekul kasih ke kantin OR 9rtu masing2 Pak @prabowo","1972088683617722876","","Tan_Mar3M","in","","0","0","0","https://x.com/AnnaAuroraLove/status/1972088683617722876","230652338","AnnaAuroraLove"
"1972088052316361159","Sat Sep 27 23:59:12 +0000 2025","1","@DakotaGeorgy Kan bukan makanan MBG mbak 😌","1972088666442158375","","DakotaGeorgy","in","","0","1","0","https://x.com/fans_mrprabs/status/1972088666442158375","1852224682415861760","fans_mrprabs"
"1971783491160523119","Sat Sep 27 23:58:08 +0000 2025","0","@abu_waras Betul banget, terutama kepala MBG pusat makan duluan","1972088399537520786","","abu_waras","in","","0","0","0","https://x.com/hartonow71/status/1972088399537520786","716451229392461826","hartonow71"
"1972088322966409312","Sat Sep 27 23:57:50 +0000 2025","0","Smp aku Muhammadiyah juga nolak MBG. Soalnya menunya udah bagus, dikelola warga Muhammadiyah, dan tertib ngapain ambil resiko","1972088322966409312","","","in","","0","0","0","https://x.com/Anintemanreza/status/1972088322966409312","4112663838","Anintemanreza"
"1971776303956468165","Sat Sep 27 23:56:49 +0000 2025","15","@IndoPopBase Gegayaan poto bela palestina.
Anak-anak di negara lo banyak yg kena racun MBG diem baeeee @NajwaShihab","1972088066472136805","","IndoPopBase","in","","0","1","1","https://x.com/keramikpecahid/status/1972088066472136805","1742373797997744128","keramikpecahid"
"1972088052316361159","Sat Sep 27 23:56:45 +0000 2025","10","Siswa di Jepang juga pernah mengalami keracunan MBG di Sekolah. https://t.co/EZ6L5iERZd","1972088052316361159","https://pbs.twimg.com/media/G15Doc7aEAALB2o.jpg","","in","","0","2","4","https://x.com/fans_mrprabs/status/1972088052316361159","1852224682415861760","fans_mrprabs"
"1972076897510346922","Sat Sep 27 23:55:48 +0000 2025","0","@yusuf_dumdum Yang ngurus MBG :
- Ahli serangga
- Jurnalis
- Purnawirawan
😩","1972087812205040094","","yusuf_dumdum","in","","0","0","0","https://x.com/ndoe_76/status/1972087812205040094","945939014644744192","ndoe_76"
"1971783491160523119","Sat Sep 27 23:54:08 +0000 2025","0","@abu_waras Gimana kalau keluarga yg punya program mbg makan duluaan😃","1972087392791331027","","abu_waras","in","","0","0","0","https://x.com/jatgatmigikogo/status/1972087392791331027","1298305903943270400","jatgatmigikogo"
"1971947633548964055","Sat Sep 27 23:53:55 +0000 2025","48","@virdianaurellio True. Mau siapapun pejabatnya kalo apatis sama masalah yg on going ya ga layak. Terserah mreka mau carmuk, mau bertingkah, asalkan seluruh maslah macam mbg, tambang, pengangguran, pendidikan, kesehatan, dll selesai mah ok. Lah ini banyak bat tingkahnya tp kerjaan ga ada yg kelar","1972087335342035192","","virdianaurellio","in","","0","0","3","https://x.com/iris_4evermore/status/1972087335342035192","1525423184538767360","iris_4evermore"
"1971783491160523119","Sat Sep 27 23:53:52 +0000 2025","0","@abu_waras Kepala Dapur Mbg wajib mencicipi!!!","1972087326454304807","","abu_waras","in","","0","0","0","https://x.com/FinterCo/status/1972087326454304807","1711275402893946880","FinterCo"
"1971543596244623542","Sat Sep 27 23:53:51 +0000 2025","0","@kompascom Ooh jadi ada dapur mbg yg dimiliki para jendral, hmmm gitu yaaaa 😼","1972087322071257551","","kompascom","in","","0","0","0","https://x.com/APencerita/status/1972087322071257551","1300298921818820609","APencerita"
"1971887379410821302","Sat Sep 27 23:53:50 +0000 2025","0","@kompascom Jangan Ngurus MBG dulu Pak.. Bapak harus Laporan dulu Ke Solo hasil kunjungan ke Luar negeri tempo hari pak... 🤣","1972087318300578229","","kompascom","in","","0","0","0","https://x.com/ItbRonny2/status/1972087318300578229","1704674082502111232","ItbRonny2"
"1972087304916554201","Sat Sep 27 23:53:47 +0000 2025","0","Sebagai wakil kepala BGN, seharusnya tidak berstatement bingung , tinggal verifikasi ulang saja SPPG yang memiliki SLLH.
Yang terpenting, jangan sampai keracunan massal karena MBG mewabah di seluruh negeri.
Jangan pula menangis seperti drama bangladesh!!!!","1972087304916554201","","","in","","0","0","0","https://x.com/naleraja/status/1972087304916554201","1727673345725091840","naleraja"
"1972087280459530717","Sat Sep 27 23:53:41 +0000 2025","2","Ahli memberi makan bergizi untuk kecoa, ditunjuk tangani MBG...? Sangat 'budaya Indonesia' sekali...! 😅😅😅
#BudayaIndonesia","1972087280459530717","","","in","","0","1","0","https://x.com/T_AndriSugiarto/status/1972087280459530717","1315880695143690240","T_AndriSugiarto"
"1971847490761904564","Sat Sep 27 23:53:29 +0000 2025","1","@KangManto123 Wkwkwkwkwk. Udahlah JANGA. DIPAKSAIN. STOP MBG ganti PENDIDIKAN GRATIS 100% DAN SARANA PRASARANANYA termasuk pakaian seragam siswa 100% gratis tis tis tis No. PUNGUTAN APAPUN. Gak usahlah pake makan2 gratis. Rakyat sudah makan semua kok.","1972087228345254357","","KangManto123","in","","0","0","0","https://x.com/GurunSupark017/status/1972087228345254357","1698466451697393664","GurunSupark017"
"1971945306351964434","Sat Sep 27 23:53:27 +0000 2025","2","@cholilnafis @prabowo Sayangnya anggaran MBG 223 T thn depan ambil dana pendidikan kyai,,amanat UU hrusnya 20 % malah dikurangi lagi, masa depan pendidikan suram","1972087221403681012","","cholilnafis","in","","0","0","0","https://x.com/WahyudiTeacher/status/1972087221403681012","323849974","WahyudiTeacher"
"1971756682138239260","Sat Sep 27 23:52:49 +0000 2025","0","@ARSIPAJA Kenapa ga ojol saja yang digaji negara untuk jadi polisi, polisi yang sekarang semuanya dicopot dikembalikan saja sesuai bidangnya masing2 menanam jagung, tukang dapur MBG","1972087058723479909","","ARSIPAJA","in","","0","0","0","https://x.com/AjieNdoro/status/1972087058723479909","1558597547647979520","AjieNdoro"
"1971915475635605852","Sat Sep 27 23:52:48 +0000 2025","5","@kompascom Tujuan MBG 'untuk anak anak kesulitan makan'??😌 Kenapa yg d sasar pertama2 malah daerah yg diperkotaan, atau pinggiran/deket2 kota, sy liatnya secara ekonomi sebenarnya sdh bagus. Justru harusnya target pertama d daerah2 pedalaman, yg msh minim secara ekonomi. Ini kebalik.","1972087054684316119","","kompascom","in","","0","0","1","https://x.com/pungkilan/status/1972087054684316119","968273547301801984","pungkilan"
"1971865123016069140","Sat Sep 27 23:52:45 +0000 2025","16","@kompascom Bgmn bisa MBG dikatakan Program Makan Bergizi Gratis jk yg disediakan menu2 yg sgt jauh dr kelayakan syarat2 Gizi yg baik&amp;benar spt makanan produk2 olahan brpengawet, karbo tinggi, makanan basi, mengandung bakteri, jamur, larva, mikroba, patogen, serangga, serpihan beling, hadeuh","1972087042965483683","","kompascom","in","","0","0","2","https://x.com/RatnaPuspi16942/status/1972087042965483683","1688663918099812353","RatnaPuspi16942"
"1971132535880192136","Sat Sep 27 23:52:39 +0000 2025","1","@Opposite6888 Kasihan generasi penerus bangsa ini, Negara menganggap mrk miskin dan kurang gizi. Eh...sekalinya dapat MBG malah jadi begini. Katanya meningkatkan gizi masyarakat dan mengurangi angka kemiskinan. Koq hasilnya ngos2an","1972087017212366952","","Opposite6888","in","","0","0","0","https://x.com/Juven95761101/status/1972087017212366952","796681407716360192","Juven95761101"
"1971911433941405854","Sat Sep 27 23:52:27 +0000 2025","5","@txtdrimedia mbg kan program politik bod","1972086970043244770","","txtdrimedia","in","","0","0","0","https://x.com/aliennrss/status/1972086970043244770","1245127175193255936","aliennrss"
"1972063807762845714","Sat Sep 27 23:51:49 +0000 2025","1","@regar_op0sisi Berarti pengelolanya dari pihak swasta ya Om, bukan program MBG pemerintah.","1972086810668159236","","regar_op0sisi","in","","0","0","0","https://x.com/abu_waras/status/1972086810668159236","2905814730","abu_waras"
"1971506494358388765","Sat Sep 27 23:51:35 +0000 2025","0","@Anak__Ogi Makan bergizi Gratis itu ide presiden prabowo yang dipaksakan harus dijalankan di Indonesia tanpa perhitungan yang matang prinsipnya jalankan dulu jika ada kekurangan akan diperbaiki. Tapi apa prabowo tega melihat anak anak sekolah menangis kesakitan karena keracunan makanan ?","1972086750240821390","","Anak__Ogi","in","","0","0","0","https://x.com/GarizLuruz/status/1972086750240821390","1458273598557220866","GarizLuruz"
"1971945306351964434","Sat Sep 27 23:51:35 +0000 2025","0","@cholilnafis @prabowo Saya pikir MBG akan ada satu dapur untuk setiap satu sekolah","1972086748097413354","","cholilnafis","in","","0","0","0","https://x.com/ARoss89777394/status/1972086748097413354","871202925581815808","ARoss89777394"
"1971789509592502565","Sat Sep 27 23:51:24 +0000 2025","0","@pagisendja BGN buktikan #KomitmenBGN: investigasi kilat bareng Polri dan BIN, biaya pengobatan MBG gratis, hotline siap dengerin keluhan, chef wajib sertifikasi","1972086702266372408","","pagisendja","in","","0","0","0","https://x.com/rizky_muhamad3/status/1972086702266372408","1702588250416967680","rizky_muhamad3"
"1971861109721514409","Sat Sep 27 23:50:47 +0000 2025","0","@KangManto123 Jangan percaya tangisan bombay...dia tetap harus bertanggung jawab atas MBG...15 ribu menjadi 10 ribu bener ngk tu !!!","1972086548977045595","","KangManto123","in","","0","0","0","https://x.com/BenNDot8/status/1972086548977045595","1502496454245425154","BenNDot8"
"1971783491160523119","Sat Sep 27 23:50:41 +0000 2025","0","@abu_waras Salah urutan makan yg benar:
1. Seluruh pelaksana di dapur MBG 2. Pemilik dapur MBG 3. Keluarga dari pemilik dapur MBG 4. Kepala sekolah
5. Murid-murid","1972086524763385863","","abu_waras","in","","0","0","0","https://x.com/AdhiPrYo/status/1972086524763385863","150537701","AdhiPrYo"
"1972086446921339223","Sat Sep 27 23:50:23 +0000 2025","0","Untuk Lindungi Anak Indonesia, HNW: BGN Tak Cukup Hanya Minta Maaf, Segera Evaluasi dan Selamatkan Program MBG - https://t.co/47Tk1PDFxl https://t.co/CcKTJT9MkP","1972086446921339223","https://pbs.twimg.com/media/G15CK4RaoAALleh.jpg","","in","","0","0","1","https://x.com/gontornews/status/1972086446921339223","214805603","gontornews"
"1971075934817300564","Sat Sep 27 23:49:50 +0000 2025","0","@JamalBoegis @NenkMonica Apakah dia menjawab pertanyaan mas Jamal? Kayaknya anak dia juga gak bakal doyan MBG mas.. begitu lihat pada siswa yang banyak keracunan.","1972086310585410019","","","in","","0","1","0","https://x.com/Agus_Purwadi/status/1972086310585410019","52307891","Agus_Purwadi"
"1971911433941405854","Sat Sep 27 23:49:24 +0000 2025","0","@txtdrimedia Hentikan saja MBG selain tidak bermanfaat juga membebani APBN dan rawan korupsi","1972086201843892512","","txtdrimedia","in","","0","0","0","https://x.com/boedi_wie/status/1972086201843892512","79179681","boedi_wie"
"1972086127105659231","Sat Sep 27 23:49:06 +0000 2025","1","Si Wowo ini rasa tanggung jawabnya nol besar. Tiap kali programnya dikritik, responsnya selalu denial bahwa yang dia lakukan itu memang jelek. Kalau Pilpres 2029 dia pisah gerbong sama anaknya si Mul, kayaknya anaknya si Mul ini bakal bikin narasi kalau dia mau stop MBG.","1972086127105659231","","","in","","0","0","0","https://x.com/ask_rizqi/status/1972086127105659231","409591666","ask_rizqi"
"1971911433941405854","Sat Sep 27 23:48:39 +0000 2025","0","@txtdrimedia Bukan dipolitisasi tapi emang sejak awal ini MBG runyam. Udah lah pak STOP dan GANTI dwngan PENDIDIKAN GRATIS hingga SMA dengan segala revitalisasi selurug infrastruktur dan fasilitas sekolah agar setara dengan sekolah di negara2 maju. Ingat RAKYAT INDONESIA semua sdh makan kok","1972086013246996905","","txtdrimedia","in","","0","0","0","https://x.com/GurunSupark017/status/1972086013246996905","1698466451697393664","GurunSupark017"
